trial_num,change_of_mind
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,1
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
